JugadorID,PromedioGeneral
1,49.5000
2,54.1250
3,37.3750
4,32.3750
5,53.5000
6,56.3750
7,54.1250
8,55.1250
9,49.3750
10,51.1250
11,37.1250
12,60.6250
13,55.6250
14,55.6250
15,52.3750
16,53.6250
17,48.1250
18,47.7500
19,49.6250
20,49.1250
21,56.7500
22,42.2500
23,59.3750
24,46.6250
25,52.8750
26,47.7500
27,49.1250
28,36.8750
29,49.8750
30,53.1250
31,51.3750
32,52.1250
33,39.2500
34,48.5000
35,53.7500
36,46.8750
37,55.7500
38,56.3750
39,51.3750
40,56.3750
41,42.7500
42,44.7500
43,43.1250
44,49.6250
45,47.0000
46,52.3750
47,48.0000
48,54.3750
49,57.5000
50,48.0000
51,47.8750
52,60.7500
53,51.0000
54,42.5000
55,48.1250
56,50.7500
57,41.5000
58,46.2500
59,48.2500
60,48.7500
61,53.3750
62,51.7500
63,50.0000
64,53.8750
65,46.1250
66,59.0000
67,53.3750
68,46.7500
69,42.8750
70,57.6250
71,55.2500
72,51.0000
73,53.2500
74,48.3750
75,50.5000
76,51.2500
77,53.2500
78,47.3750
79,48.6250
80,51.0000
81,47.0000
82,51.2500
83,53.2500
84,41.8750
85,38.5000
86,48.0000
87,58.1250
88,51.8750
89,53.8750
90,53.1250
91,55.3750
92,49.7500
93,63.0000
94,49.1250
95,46.6250
96,44.8750
97,47.1250
98,47.5000
99,41.5000
100,49.2500
101,49.1250
102,52.3750
103,49.0000
104,44.8750
105,52.3750
106,51.6250
107,46.5000
108,57.5000
109,40.2500
110,47.1250
111,39.0000
112,49.7500
113,51.0000
114,56.2500
115,49.3750
116,45.2500
117,55.2500
118,52.2500
119,43.2500
120,47.3750
121,46.5000
122,47.7500
123,39.5000
124,55.3750
125,49.8750
126,47.0000
127,41.8750
128,44.0000
129,59.8750
130,46.7500
131,44.6250
132,44.8750
133,55.0000
134,48.6250
135,53.5000
136,53.3750
137,51.3750
138,51.7500
139,55.2500
140,53.5000
141,45.6250
142,51.7500
143,46.2500
144,54.6250
145,42.1250
146,52.8750
147,47.3750
148,52.0000
149,46.1250
150,54.7500
151,51.1250
152,57.2500
153,51.7500
154,51.7500
155,54.6250
156,51.2500
